index,id,artist,asciiName,attractionLights,availability,boosterTypes,borderColor,cardKingdomEtchedId,cardKingdomFoilId,cardKingdomId,cardParts,cardsphereId,colorIdentity,colorIndicator,colors,convertedManaCost,duelDeck,edhrecRank,faceConvertedManaCost,faceFlavorName,faceManaValue,faceName,finishes,flavorName,flavorText,frameEffects,frameVersion,hand,hasAlternativeDeckLimit,hasContentWarning,hasFoil,hasNonFoil,isAlternative,isFullArt,isFunny,isOnlineOnly,isOversized,isPromo,isRebalanced,isReprint,isReserved,isStarter,isStorySpotlight,isTextless,isTimeshifted,keywords,language,layout,leadershipSkills,life,loyalty,manaCost,manaValue,mcmId,mcmMetaId,mtgArenaId,mtgjsonV4Id,mtgoFoilId,mtgoId,multiverseId,name,number,originalPrintings,originalReleaseDate,originalText,originalType,otherFaceIds,power,printings,promoTypes,purchaseUrls,rarity,rebalancedPrintings,scryfallId,scryfallIllustrationId,scryfallOracleId,securityStamp,setCode,side,signature,subtypes,supertypes,tcgplayerEtchedProductId,tcgplayerProductId,text,toughness,type,types,uuid,variations,watermark
513,514,Richard Thomas,,,paper,draft,white,,,13020,,45623,W,,W,1.0,,18685.0,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{W},1.0,5007,,,f69ac097-1f57-5e56-8679-b74468051629,,,834,Blaze of Glory,6,,,"Target defending creature can and must block all attacking creatures it can legally block. For example, a normal non-flying target defender can and must block all normal non-flying attackers at once, but it cannot block any flying attackers. Controller of target defender may distribute damage among attackers as desired. Play before defense is chosen.",Instant,,,"2ED,30A,CED,CEI,LEA,LEB,ME4",,"{'cardKingdom': 'https://mtgjson.com/links/de08026ec8c076f2', 'tcgplayer': 'https://mtgjson.com/links/e89eb848c3fccbf6'}",rare,,2d636573-287d-4f6f-93b0-12ddd8f3e6d1,56312255-8f0a-4d76-bf76-7e39dcf27a65,b330ac89-790e-4cc9-96a5-532c48252088,,2ED,,,,,,8992,"Cast this spell only during combat before blockers are declared.
Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.",,Instant,Instant,fd1fef0e-7fc8-5063-9e92-155fb93713d4,,
527,528,Mark Poole,,,paper,draft,white,,,13080,,45682,W,,W,3.0,,21487.0,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Enchant,English,normal,,,,{W}{W}{W},3.0,5035,,,10cce8e2-fbe9-547a-b904-a0b82b3038c8,,,848,Farmstead,20,,,"Target land's controller gains 1 life each upkeep if o
Wo
W is spent. Target land still generates mana as usual.",Enchant Land,,,"2ED,30A,3ED,CED,CEI,FBB,LEA,LEB,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/daaee29b244b7458', 'tcgplayer': 'https://mtgjson.com/links/585a464baf35b390'}",rare,,3d79940b-9384-4009-8b74-3d56a2c5a8a5,942beb44-8144-446a-a318-e0656948f4bb,0d71b157-09a0-4fd4-beb9-103117a784ad,,2ED,,,Aura,,,9051,"Enchant land
Enchanted land has ""At the beginning of your upkeep, you may pay {W}{W}. If you do, you gain 1 life.""",,Enchantment — Aura,Enchantment,1985d4ff-cadd-56d9-bd62-824f53a834df,,
549,550,Douglas Shuler,,,paper,draft,white,,,13269,,45877,W,,W,5.0,,18654.0,,,,,nonfoil,,"Good bodyguards are hard to find, mainly because they don't live long.",,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{3}{W}{W},5.0,5079,,,b69ae766-1e80-5f1d-b91f-5447988c147f,,,870,Veteran Bodyguard,42,,,"Unless Bodyguard is tapped, any damage done to you by unblocked creatures is done instead to Bodyguard. You may not take this damage yourself, though you can prevent it if possible.",Summon - Bodyguard,,2,"2ED,30A,3ED,CED,CEI,FBB,LEA,LEB,ME4,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/7a770bde90257513', 'tcgplayer': 'https://mtgjson.com/links/e5393253f86e19d1'}",rare,,8d693da0-039d-462b-a5cb-d2bb179df65e,6e32d8d4-37f7-4cad-8b6c-368dc0a9bfb5,d29078c0-1fb8-437a-81d1-bb319f646941,,2ED,,,Human,,,9246,"As long as Veteran Bodyguard is untapped, all damage that would be dealt to you by unblocked creatures is dealt to Veteran Bodyguard instead.",5,Creature — Human,Creature,fe0edfb2-d4d8-5a15-bfab-31a5505b689f,,
555,556,Mark Poole,,,paper,draft,white,,,13001,,45604,U,,U,1.0,,,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{U},1.0,4723,,,e1a727f8-1653-5adc-b37b-35b444777cf6,,,692,Ancestral Recall,48,,,Draw 3 cards or force opponent to draw 3 cards.,Instant,,,"2ED,30A,CED,CEI,LEA,LEB,OVNT,PRM,VMA",,"{'cardKingdom': 'https://mtgjson.com/links/e52e0b1a89454b22', 'tcgplayer': 'https://mtgjson.com/links/103f75b0240c79fd'}",rare,,2dd41293-d7c8-4422-9f0c-b3e96350f5c9,d20eda7b-a902-4c00-bdab-601059e417b5,550c74d4-1fcb-406a-b02a-639a760a4380,,2ED,,,,,,8973,Target player draws three cards.,,Instant,Instant,89470421-c7fa-5cc1-9bce-ccbbb02b5a06,,
558,559,Mark Tedin,,,paper,draft,white,,,13025,,45628,U,,U,2.0,,7602.0,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{X}{U}{U},2.0,4729,,,09095d87-a64a-53fe-a618-6e4158944638,,,695,Braingeyser,51,,,Draw X cards or force opponent to draw X cards.,Sorcery,,,"2ED,30A,3ED,CED,CEI,FBB,LEA,LEB,ME4,PRM,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/1421c52e20a42830', 'tcgplayer': 'https://mtgjson.com/links/6fa40caf55305fb2'}",rare,,3dbeef5c-f973-480b-a148-28de397b610f,091c3935-03d7-4ef5-ab79-f006e3a57ee9,9908e597-9470-4c13-8387-39431b380138,,2ED,,,,,,8997,Target player draws X cards.,,Sorcery,Sorcery,9aa589ba-91e7-5122-a28a-b0b61cab578e,,
561,562,Amy Weber,,,paper,draft,white,,,13047,,45650,U,,U,2.0,,2930.0,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{1}{U},2.0,4735,,,76a84415-dec5-5591-af3d-151b525e961d,,,698,Copy Artifact,54,,,Select any artifact in play. This enchantment acts as a duplicate of that artifact; enchantment copy is affected by cards that affect either enchantments or artifacts. Enchantment copy remains even if original artifact is destroyed.,Enchantment,,,"2ED,30A,3ED,CED,CEI,FBB,LEA,LEB,ME4,PRM,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/f8305b5ccd4eea5b', 'tcgplayer': 'https://mtgjson.com/links/6ff3f6cb7c70ad50'}",rare,,dde40c1f-5ccc-435b-ac35-62eb58ffeea2,d3b7f59b-52c5-4d3f-9f27-a42a13242fe4,80bc56a9-40e0-48da-ae86-190e39c8a4a3,,2ED,,,,,,9019,"You may have Copy Artifact enter the battlefield as a copy of any artifact on the battlefield, except it's an enchantment in addition to its other types.",,Enchantment,Enchantment,351a1827-a9e8-516f-b477-8c4ff8013d43,,
591,592,Amy Weber,,,paper,draft,white,,,13254,,45862,U,,U,2.0,,,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{1}{U},2.0,4795,,,03b24a81-4a57-5372-974d-38854d2097f4,,,728,Time Walk,84,,,Take an extra turn after this one.,Sorcery,,,"2ED,30A,CED,CEI,LEA,LEB,OVNT,PRM,VMA",,"{'cardKingdom': 'https://mtgjson.com/links/0c978ebe4adb7167', 'tcgplayer': 'https://mtgjson.com/links/a492dfbaaa4203be'}",rare,,ade7d00d-4e7b-46e9-ace1-63f628a589fc,f829c095-8e65-4180-a20f-7479c212bcd4,d0209d3f-3f7e-4fd5-bce5-10bce6f29c86,,2ED,,,,,,9231,Take an extra turn after this one.,,Sorcery,Sorcery,1efe8ae8-d268-54c2-b47a-71f11bd72934,,
592,593,Mark Tedin,,,paper,draft,white,,,13255,,45863,U,,U,3.0,,1714.0,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{2}{U},3.0,4797,,,ba3b2aea-2a43-5713-b1e4-4bb4d524099d,,,729,Timetwister,85,,,"Set Timetwister aside in a new graveyard pile. Shuffle your hand, library, and graveyard together into a new library and draw a new hand of seven cards, leaving all cards in play where they are; opponent must do the same.",Sorcery,,,"2ED,30A,CED,CEI,LEA,LEB,OVNT,PRM,VMA",,"{'cardKingdom': 'https://mtgjson.com/links/6931e9932164eaad', 'tcgplayer': 'https://mtgjson.com/links/9cb76adb94e0d105'}",rare,,01bda3d7-122a-48a0-bab3-676c4a557b74,b97433b5-625c-4fb5-b2b1-6bd5246da713,c823e687-6311-4c99-974b-fd77d204141a,,2ED,,,,,,9232,"Each player shuffles their hand and graveyard into their library, then draws seven cards. (Then put Timetwister into its owner's graveyard.)",,Sorcery,Sorcery,5e1fa5a2-e24d-521c-8f2a-ba506acb8201,,
595,596,Quinton Hoover,,,paper,draft,white,,,13268,,45876,U,,U,5.0,,10420.0,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{3}{U}{U},5.0,4803,,,b7226b76-3113-5386-9362-d1aaae76ad2a,,,732,Vesuvan Doppelganger,88,,,"Upon summoning, Doppelganger acquires all normal characteristics (except color) of any one creature in play on either side; any enchantments on the original creature are not copied. During controller's upkeep, Doppelganger may take on the characteristics of a different creature in play instead. Doppleganger may continue to copy a creature even after that creature leaves play, but if it switches it won't be able to switch back.",Summon - Doppelganger,,0,"2ED,30A,3ED,CED,CEI,FBB,LEA,LEB,ME1,OLEP,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/7886361c2e77db68', 'tcgplayer': 'https://mtgjson.com/links/656f00ee74088188'}",rare,,408ec348-183b-43de-abac-7ae9e3843c10,5994977a-3846-494b-a620-c00ade6b40ba,aeaccab9-3e2c-4a40-a483-52c4972b2014,,2ED,,,Shapeshifter,,,9245,"You may have Vesuvan Doppelganger enter the battlefield as a copy of any creature on the battlefield, except it doesn't copy that creature's color and it has ""At the beginning of your upkeep, you may have this creature become a copy of target creature, except it doesn't copy that creature's color and it has this ability.""",0,Creature — Shapeshifter,Creature,10efc194-7ccb-532c-ab5c-63d513d5da4d,,
604,605,Douglas Shuler,,,paper,draft,white,,,13043,,45646,B,,B,1.0,,,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{B},1.0,4637,,,7f162766-c6ae-577e-b50f-10e6797c8fd5,,,649,Contract from Below,97,,,"Discard your current hand and draw eight new cards, adding the first drawn to your ante. Remove this card from your deck before playing if you are not playing for ante.",Sorcery,,,"2ED,3ED,CED,CEI,FBB,LEA,LEB,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/d85d49a11db8d962', 'tcgplayer': 'https://mtgjson.com/links/a46f5f78ca2234f0'}",rare,,530be94d-7f6a-4c23-948f-22c5bdbceb4f,05ebaa84-3624-4e81-b111-1fab9ba64168,9e0ed4b0-28b5-44be-ab83-f1e8eb07138d,,2ED,,,,,,9015,"Remove Contract from Below from your deck before playing if you're not playing for ante.
Discard your hand, ante the top card of your library, then draw seven cards.",,Sorcery,Sorcery,60124c14-dc29-5c80-af4e-620dc2020046,,
607,608,Quinton Hoover,,,paper,draft,white,,,13056,,45659,B,,B,3.0,,,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{B}{B}{B},3.0,4643,,,5087d8dd-d934-5fbf-be26-356732939b83,,,652,Darkpact,100,,,"Without looking at it first, swap top card of your library with either card of the ante; this swap is permanent. You must have a card in your library to cast this spell. Remove this card from your deck before playing if you are not playing for ante.",Sorcery,,,"2ED,3ED,CED,CEI,FBB,LEA,LEB,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/62fc3ceeacf38714', 'tcgplayer': 'https://mtgjson.com/links/a4ba60b3f7cc12ff'}",rare,,9350762e-cb5f-4cea-a880-6e731685bf67,4f6f4f77-9100-47da-a94d-5d00c57876f2,74f10b9a-a286-49b2-bfa1-a427ff041bd4,,2ED,,,,,,9028,"Remove Darkpact from your deck before playing if you're not playing for ante.
You own target card in the ante. Exchange that card with the top card of your library.",,Sorcery,Sorcery,6614c4a8-5ae6-502a-af01-6c35568ff5c0,,
610,611,Daniel Gelon,,,paper,draft,white,,,13060,,45663,B,,B,3.0,,,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,English,normal,,,,{1}{B}{B},3.0,4649,,,3d214419-ba0e-56ef-9c61-ee264748f23f,,,655,Demonic Attorney,103,,,"If opponent doesn't concede the game immediately, each player must ante an additional card from the top of his or her library. Remove this card from your deck before playing if you are not playing for ante.",Sorcery,,,"2ED,3ED,CED,CEI,FBB,LEA,LEB,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/93862983dedf74ee', 'tcgplayer': 'https://mtgjson.com/links/6b5415c662c4f41a'}",rare,,4fbb25bc-7071-40eb-bea6-16387db164a7,c53deb39-7c44-4904-9ac6-e53638494c0c,65a9f643-063f-406a-8d5a-5ebbe0f04c3d,,2ED,,,,,,9032,"Remove Demonic Attorney from your deck before playing if you're not playing for ante.
Each player antes the top card of their library.",,Sorcery,Sorcery,1ad070b0-a4ab-5658-b599-1178c86a379e,,
